id	rate
1001	24.039
01003	81.783
01005	7.598
01007	7.938
01009	22.837
01011	4.239     
01013	8.538
01015	42.485
01017	14.238
01019	10.407
01021	17.819
01023	3.863
01025	7.017
01027	5.178
01029	5.300
01031	18.821
01033	21.801
01035	4.119
01037	4.105
01039	13.967
01041	5.819
01043	35.245
01045	18.663
01047	13.958
01049	26.684
01051	34.618
01053	13.457
01055	40.973
01057	5.983
01059	12.812
01061	9.918
01063	2.575
01065	5.382
01067	6.170
01069	41.557
01071	21.858
01073	291.305
01075	5.344
01077	39.738
01079	12.590
01081	67.810
01083	38.037
01085	3.340
01087	7.309
01089	163.180
01091	6.964
01093	11.674
01095	38.060
01097	171.003
01099	6.607
01101	98.057
01103	51.888
01105	3.028
01107	7.288
01109	14.036
01111	8.728
01113	22.616
01115	36.261
01117	103.004
01119	4.703
01121	32.347
01123	17.615
01125	92.217
01127	23.480
01129	6.044
01131	2.416
01133	8.586
02013	3.336
02016	4.907
02020	147.026
02050	5.853
02060	203
02068	479
02070	1.808
02090	42.186
02100	762
02105	790
02110	15.782
02122	23.481
02130	5.843
02150	6.301
02158	2.095
02164	452
02170	42.111
02180	3.575
02185	4.065
02188	2.419
02195	1.191
02198	2.304
02220	3.829
02230	451
02240	2.583
02261	3.746
02275	912
02282	189
02290	1.898
04001	17.855
04003	46.818
04005	68.033
04007	19.214
04009	13.675
04011	3.687
04012	7.925
04013	1.967.946
04015	73.938
04017	36.846
04019	449.508
04021	150.993
04023	17.860
04025	93.648
04027	75.865
05001	8.891
05003	7.347
05005	15.199
05007	120.493
05009	15.284
05011	4.093
05013	2.284
05015	11.945
05017	3.309
05019	9.019
05021	5.669
05023	8.829
05025	3.175
05027	8.943
05029	8.015
05031	49.528
05033	25.652
05035	20.292
05037	7.495
05039	2.730
05041	5.141
05043	7.462
05045	57.667
05047	7.049
05049	4.438
05051	37.899
05053	7.951
05055	18.967
05057	9.519
05059	13.460
05061	5.782
05063	15.190
05065	4.679
05067	5.681
05069	26.889
05071	9.907
05073	2.423
05075	6.736
05077	2.952
05079	3.878
05081	5.372
05083	8.643
05085	31.881
05087	6.947
05089	6.207
05091	19.202
05093	16.599
05095	2.800
05097	2.882
05099	3.515
05101	3.265
05103	9.318
05105	3.973
05107	6.344
05109	3.949
05111	9.620
05113	7.696
05115	27.845
05117	3.476
05119	179.352
05121	5.934
05123	8.322
05125	54.251
05127	4.265
05129	2.792
05131	55.411
05133	5.351
05135	5.655
05137	4.345
05139	15.790
05141	5.783
05143	114.238
05145	32.344
05147	2.798
05149	8.388
06001	796.830
06003	646
06005	13.386
06007	94.066
06009	19.528
06011	8.542
06013	528.039
06015	8.772
06017	84.742
06019	396.423
06021	11.763
06023	59.316
06025	60.505
06027	8.385
06029	346.606
06031	50.476
06033	27.013
06035	9.402
06037	4.762.391
06039	56.577
06041	135.594
06043	6.699
06045	37.374
06047	100.104
06049	2.806
06051	8.446
06053	187.011
06055	69.346
06057	46.338
06059	1.538.976
06061	170.972
06063	6.518
06065	983.499
06067	656.776
06069	27.386
06071	878.486
06073	1.491.337
06075	537.626
06077	289.391
06079	134.339
06081	432.067
06083	202.860
06085	981.436
06087	130.455
06089	67.856
06091	1.197
06093	15.671
06095	195.238
06097	248.297
06099	218.421
06101	39.278
06103	22.892
06105	4.481
06107	181.167
06109	20.335
06111	406.116
06113	99.453
06115	25.354
08001	240.589
08003	7.418
08005	326.412
08007	5.759
08009	2.013
08011	1.728
08013	175.170
08014	34.859
08015	8.057
08017	1.014
08019	5.419
08021	3.499
08023	1.548
08025	1.310
08027	1.891
08029	12.636
08031	366.807
08033	962
08035	169.192
08037	34.789
08039	13.101
08041	297.735
08043	13.408
08045	30.474
08047	3.338
08049	9.353
08051	9.944
08053	385
08055	2.214
08057	795
08059	302.158
08061	781
08063	4.262
08065	4.731
08067	29.066
08069	177.241
08071	5.808
08073	2.139
08075	10.560
08077	67.231
08079	501
08081	6.827
08083	11.345
08085	18.429
08087	14.211
08089	7.565
08091	1.910
08093	9.180
08095	2.309
08097	10.744
08099	5.630
08101	68.570
08103	2.511
08105	4.650
08107	15.146
08109	2.938
08111	404
08113	5.556
08115	1.134
08117	23.123
08119	11.035
08121	2.785
08123	142.480
08125	5.114
09001	452.534
09003	442.514
09005	97.932
09007	87.006
09009	423.534
09011	126.189
09013	79.856
09015	57.877
10001	74.139
10003	283.953
10005	90.804
11001	366.817
12001	126.411
12003	10.649
12005	81.573
12007	10.343
12009	243.455
12011	949.371
12013	4.667
12015	65.112
12017	44.507
12019	94.331
12021	163.200
12023	28.028
12027	13.085
